"","Region","Market","Chart","Name","Unit","Year","Value"
"1","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2017",15852.504
"2","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2018",21860.272
"3","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2019",29159.003
"4","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2020",34717.828
"5","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2021",40696.12
"6","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2022",45211.724
"7","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2023",49444.938
"8","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2024",53360.819
"9","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2025",56894.204
"10","China","Banner Advertising","Ad Spending","Total","million USD (US$)","2026",60077.585
"11","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2017",6059.615
"12","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2018",7101.058
"13","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2019",8067.618
"14","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2020",8667.037
"15","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2021",9237.077
"16","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2022",9436.79
"17","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2023",9504.879
"18","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2024",9472.575
"19","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2025",9288.39
"20","China","Banner Advertising","Ad Spending","Banner Advertising Desktop","million USD (US$)","2026",8995.746
"21","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2017",9792.89
"22","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2018",14759.214
"23","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2019",21091.385
"24","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2020",26050.792
"25","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2021",31459.043
"26","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2022",35774.934
"27","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2023",39940.059
"28","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2024",43888.244
"29","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2025",47605.813
"30","China","Banner Advertising","Ad Spending","Banner Advertising Mobile","million USD (US$)","2026",51081.839
"31","China","Banner Advertising","Ad Spending Growth","Total","percent","2017",NA
"32","China","Banner Advertising","Ad Spending Growth","Total","percent","2018",37.898
"33","China","Banner Advertising","Ad Spending Growth","Total","percent","2019",33.388
"34","China","Banner Advertising","Ad Spending Growth","Total","percent","2020",19.064
"35","China","Banner Advertising","Ad Spending Growth","Total","percent","2021",17.22
"36","China","Banner Advertising","Ad Spending Growth","Total","percent","2022",11.096
"37","China","Banner Advertising","Ad Spending Growth","Total","percent","2023",9.363
"38","China","Banner Advertising","Ad Spending Growth","Total","percent","2024",7.92
"39","China","Banner Advertising","Ad Spending Growth","Total","percent","2025",6.622
"40","China","Banner Advertising","Ad Spending Growth","Total","percent","2026",5.595
"41","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2017",NA
"42","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2018",17.187
"43","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2019",13.611
"44","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2020",7.43
"45","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2021",6.577
"46","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2022",2.162
"47","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2023",0.722
"48","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2024",-0.34
"49","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2025",-1.944
"50","China","Banner Advertising","Ad Spending Growth","Banner Advertising Desktop","percent","2026",-3.151
"51","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2017",NA
"52","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2018",50.714
"53","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2019",42.903
"54","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2020",23.514
"55","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2021",20.76
"56","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2022",13.719
"57","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2023",11.643
"58","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2024",9.885
"59","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2025",8.471
"60","China","Banner Advertising","Ad Spending Growth","Banner Advertising Mobile","percent","2026",7.302
"61","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2017",20.367
"62","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2018",26.18
"63","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2019",32.981
"64","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2020",35.514
"65","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2021",39.086
"66","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2022",40.982
"67","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2023",42.656
"68","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2024",44.114
"69","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2025",45.331
"70","China","Banner Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2026",46.358
"71","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2017",7.785
"72","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2018",8.504
"73","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2019",9.125
"74","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2020",8.866
"75","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2021",8.872
"76","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2022",8.554
"77","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2023",8.2
"78","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2024",7.831
"79","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2025",7.401
"80","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Desktop","USD (US$)","2026",6.941
"81","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2017",12.582
"82","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2018",17.676
"83","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2019",23.856
"84","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2020",26.648
"85","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2021",30.214
"86","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2022",32.428
"87","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2023",34.456
"88","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2024",36.283
"89","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2025",37.931
"90","China","Banner Advertising","Average Ad Spending per Internet User","Banner Advertising Mobile","USD (US$)","2026",39.416
"91","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2017",12210.279
"92","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2018",19449.082
"93","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2019",29594.994
"94","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2020",37143.326
"95","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2021",45131.171
"96","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2022",52889.459
"97","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2023",60718.301
"98","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2024",68576.44
"99","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2025",76506.997
"100","China","Social Media Advertising","Ad Spending","Total","million USD (US$)","2026",84512.566
"101","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2017",2883.239
"102","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2018",4119.599
"103","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2019",5703.392
"104","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2020",6616.693
"105","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2021",7506.776
"106","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2022",8297.305
"107","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2023",9052.176
"108","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2024",9796.475
"109","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2025",10440.113
"110","China","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2026",10994.482
