Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
China,Banner Advertising,Ad Spending,Total,million USD (US$),Statista,"15,852.504","21,860.272","29,159.003","34,717.828","40,696.12","45,211.724","49,444.938","53,360.819","56,894.204","60,077.585"
China,Banner Advertising,Ad Spending,Banner Advertising Desktop,million USD (US$),Statista,"6,059.615","7,101.058","8,067.618","8,667.037","9,237.077","9,436.79","9,504.879","9,472.575","9,288.39","8,995.746"
China,Banner Advertising,Ad Spending,Banner Advertising Mobile,million USD (US$),Statista,"9,792.89","14,759.214","21,091.385","26,050.792","31,459.043","35,774.934","39,940.059","43,888.244","47,605.813","51,081.839"
China,Banner Advertising,Ad Spending Growth,Total,percent,Statista,,37.898,33.388,19.064,17.22,11.096,9.363,7.92,6.622,5.595
China,Banner Advertising,Ad Spending Growth,Banner Advertising Desktop,percent,Statista,,17.187,13.611,7.43,6.577,2.162,0.722,-0.34,-1.944,-3.151
China,Banner Advertising,Ad Spending Growth,Banner Advertising Mobile,percent,Statista,,50.714,42.903,23.514,20.76,13.719,11.643,9.885,8.471,7.302
China,Banner Advertising,Average Ad Spending per Internet User,Total,USD (US$),Statista,20.367,26.18,32.981,35.514,39.086,40.982,42.656,44.114,45.331,46.358
China,Banner Advertising,Average Ad Spending per Internet User,Banner Advertising Desktop,USD (US$),Statista,7.785,8.504,9.125,8.866,8.872,8.554,8.2,7.831,7.401,6.941
China,Banner Advertising,Average Ad Spending per Internet User,Banner Advertising Mobile,USD (US$),Statista,12.582,17.676,23.856,26.648,30.214,32.428,34.456,36.283,37.931,39.416
China,Social Media Advertising,Ad Spending,Total,million USD (US$),Statista,"12,210.279","19,449.082","29,594.994","37,143.326","45,131.171","52,889.459","60,718.301","68,576.44","76,506.997","84,512.566"
China,Social Media Advertising,Ad Spending,Social Media Advertising Desktop,million USD (US$),Statista,"2,883.239","4,119.599","5,703.392","6,616.693","7,506.776","8,297.305","9,052.176","9,796.475","10,440.113","10,994.482"
China,Social Media Advertising,Ad Spending,Social Media Advertising Mobile,million USD (US$),Statista,"9,327.04","15,329.483","23,891.602","30,526.634","37,624.395","44,592.153","51,666.125","58,779.966","66,066.884","73,518.084"
China,Social Media Advertising,Ad Spending Growth,Total,percent,Statista,,59.284,52.167,25.505,21.505,17.191,14.802,12.942,11.565,10.464
China,Social Media Advertising,Ad Spending Growth,Social Media Advertising Desktop,percent,Statista,,42.881,38.445,16.013,13.452,10.531,9.098,8.222,6.57,5.31
China,Social Media Advertising,Ad Spending Growth,Social Media Advertising Mobile,percent,Statista,,64.355,55.854,27.771,23.251,18.519,15.864,13.769,12.397,11.278
China,Social Media Advertising,Average Ad Spending per Internet User,Total,USD (US$),Statista,15.688,23.292,33.474,37.995,43.345,47.942,52.381,56.693,60.958,65.213
China,Social Media Advertising,Average Ad Spending per Internet User,Social Media Advertising Desktop,USD (US$),Statista,3.704,4.934,6.451,6.768,7.21,7.521,7.809,8.099,8.318,8.484
China,Social Media Advertising,Average Ad Spending per Internet User,Social Media Advertising Mobile,USD (US$),Statista,11.983,18.359,27.023,31.226,36.135,40.421,44.572,48.594,52.64,56.729
China,Social Media Advertising,Users by Age,18-24 years,percent,"Statista,Statista Global Consumer Survey",,,,,17.764,,,,,
China,Social Media Advertising,Users by Age,25-34 years,percent,"Statista,Statista Global Consumer Survey",,,,,31.918,,,,,
China,Social Media Advertising,Users by Age,35-44 years,percent,"Statista,Statista Global Consumer Survey",,,,,24.957,,,,,
China,Social Media Advertising,Users by Age,45-54 years,percent,"Statista,Statista Global Consumer Survey",,,,,20.22,,,,,
China,Social Media Advertising,Users by Age,55-64 years,percent,"Statista,Statista Global Consumer Survey",,,,,5.14,,,,,
China,Social Media Advertising,Users by Gender,female,percent,"Statista,Statista Global Consumer Survey",,,,,47.834,,,,,
China,Social Media Advertising,Users by Gender,male,percent,"Statista,Statista Global Consumer Survey",,,,,52.166,,,,,
China,Social Media Advertising,Users by Income,high income,percent,"Statista,Statista Global Consumer Survey",,,,,33.206,,,,,
