Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United Kingdom,Social Media Advertising,Ad Spending,Total,million USD (US$),Statista,"3,303.494","4,548.735","5,521.198","6,725.699","8,254.644","9,392.775","10,283.183","11,138.468","11,992.568","13,012.506"
United Kingdom,Social Media Advertising,Ad Spending,Social Media Advertising Desktop,million USD (US$),Statista,"1,126.298","1,484.529","1,740.434","2,063.479","2,479.666","2,776.01","3,001.611","3,221.511","3,435.152","3,691.109"
United Kingdom,Social Media Advertising,Ad Spending,Social Media Advertising Mobile,million USD (US$),Statista,"2,177.195","3,064.206","3,780.764","4,662.221","5,774.978","6,616.765","7,281.573","7,916.957","8,557.416","9,321.397"
United Kingdom,Social Media Advertising,Ad Spending Growth,Total,percent,Statista,,37.695,21.379,21.816,22.733,13.788,9.48,8.317,7.668,8.505
United Kingdom,Social Media Advertising,Ad Spending Growth,Social Media Advertising Desktop,percent,Statista,,31.806,17.238,18.561,20.169,11.951,8.127,7.326,6.632,7.451
United Kingdom,Social Media Advertising,Ad Spending Growth,Social Media Advertising Mobile,percent,Statista,,40.741,23.385,23.314,23.868,14.576,10.047,8.726,8.09,8.928
United Kingdom,Social Media Advertising,Average Ad Spending per Internet User,Total,USD (US$),Statista,56.302,75.829,90.34,108.358,131.309,147.862,160.485,172.567,184.621,199.194
United Kingdom,Social Media Advertising,Average Ad Spending per Internet User,Social Media Advertising Desktop,USD (US$),Statista,19.196,24.748,28.478,33.245,39.445,43.7,46.845,49.91,52.883,56.503
United Kingdom,Social Media Advertising,Average Ad Spending per Internet User,Social Media Advertising Mobile,USD (US$),Statista,37.107,51.082,61.863,75.113,91.864,104.162,113.64,122.656,131.738,142.691
United Kingdom,Social Media Advertising,Users by Age,18-24 years,percent,"Statista,Statista Global Consumer Survey",,,,,14.604,,,,,
United Kingdom,Social Media Advertising,Users by Age,25-34 years,percent,"Statista,Statista Global Consumer Survey",,,,,24.34,,,,,
United Kingdom,Social Media Advertising,Users by Age,35-44 years,percent,"Statista,Statista Global Consumer Survey",,,,,22.838,,,,,
United Kingdom,Social Media Advertising,Users by Age,45-54 years,percent,"Statista,Statista Global Consumer Survey",,,,,21.491,,,,,
United Kingdom,Social Media Advertising,Users by Age,55-64 years,percent,"Statista,Statista Global Consumer Survey",,,,,16.727,,,,,
United Kingdom,Social Media Advertising,Users by Gender,female,percent,"Statista,Statista Global Consumer Survey",,,,,51.217,,,,,
United Kingdom,Social Media Advertising,Users by Gender,male,percent,"Statista,Statista Global Consumer Survey",,,,,48.783,,,,,
United Kingdom,Social Media Advertising,Users by Income,high income,percent,"Statista,Statista Global Consumer Survey",,,,,35.719,,,,,
United Kingdom,Social Media Advertising,Users by Income,low income,percent,"Statista,Statista Global Consumer Survey",,,,,31.008,,,,,
United Kingdom,Social Media Advertising,Users by Income,medium income,percent,"Statista,Statista Global Consumer Survey",,,,,33.274,,,,,
United Kingdom,Social Media Advertising,Usage Shares,Other,percent,Statista,,,,,5,,,,,
United Kingdom,Social Media Advertising,Usage Shares,LinkedIn,percent,Statista,,,,,5,,,,,
United Kingdom,Social Media Advertising,Usage Shares,"Meta Platforms, Inc.",percent,Statista,,,,,80,,,,,
United Kingdom,Social Media Advertising,Usage Shares,Snapchat,percent,Statista,,,,,5,,,,,
United Kingdom,Social Media Advertising,Usage Shares,TikTok,percent,Statista,,,,,5,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),"Facebook, Inc.",million USD (US$),Statista Company DB,"40,653","55,838","70,697","85,965",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),Kakao Corp.,million USD (US$),Statista Company DB,"1,744.766","2,196.153","2,634.036","3,443.403",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),Microsoft Corp.,million USD (US$),Statista Company DB,"96,016","110,175","125,502","143,015",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),NAVER Corp.,million USD (US$),Statista Company DB,"4,138.369","5,076.431","3,735.464","4,393.823",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),"Pinterest, Inc.",million USD (US$),Statista Company DB,472.852,755.932,"1,142.761","1,692.658",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),"Snap, Inc.",million USD (US$),Statista Company DB,824.949,"1,180.446","1,715.534","2,506.626",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),Tencent Holdings Ltd.,million USD (US$),Statista Company DB,"35,180.854","47,256.075","54,601.583","69,841.732",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),"Twitter, Inc.",million USD (US$),Statista Company DB,"2,443.299","3,042.359","3,459.329","3,716.349",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),"Verizon Communications, Inc.",million USD (US$),Statista Company DB,"126,034","130,863","131,868","128,292",,,,,,
United Kingdom,Social Media Advertising,Top Company Revenues (Worldwide & Consolidated),Weibo Corp.,million USD (US$),Statista Company DB,"1,153.956","1,716.976","1,769.956","1,692.84",,,,,,
United Kingdom,Social Media Advertising,Reach by social network,Total,million users,Statista,51.189,54.193,56.695,58.734,60.369,61.666,62.696,63.521,64.194,64.753
United Kingdom,Social Media Advertising,Reach by social network,Facebook,million users,Statista,35.1,36.993,38.886,40.78,42.318,43.715,44.966,46.111,47.185,48.359
United Kingdom,Social Media Advertising,Reach by social network,Instagram,million users,Statista,23.34,23.64,27.32,31,32.625,34.777,36.735,38.533,40.206,42.046
United Kingdom,Social Media Advertising,Reach by social network,KakaoTalk,million users,Statista,0.116,0.11,0.104,0.107,0.107,0.108,0.107,0.107,0.107,0.107
