Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United States,Banner Advertising,Ad Spending,Total,million USD (US$),Statista,"36,380.02","44,525.534","52,840.669","62,451.919","68,783.397","73,597.233","77,967.192","81,815.893","85,025.59","87,906.568"
United States,Banner Advertising,Ad Spending,Banner Advertising Desktop,million USD (US$),Statista,"16,213.488","17,570.746","18,320.782","19,332.292","20,009.1","20,475.583","20,738.373","20,749.388","19,650.804","18,471.9"
United States,Banner Advertising,Ad Spending,Banner Advertising Mobile,million USD (US$),Statista,"20,166.532","26,954.789","34,519.887","43,119.627","48,774.297","53,121.65","57,228.819","61,066.505","65,374.786","69,434.667"
United States,Banner Advertising,Ad Spending Growth,Total,percent,Statista,,22.39,18.675,18.189,10.138,6.999,5.938,4.936,3.923,3.388
United States,Banner Advertising,Ad Spending Growth,Banner Advertising Desktop,percent,Statista,,8.371,4.269,5.521,3.501,2.331,1.283,0.053,-5.295,-5.999
United States,Banner Advertising,Ad Spending Growth,Banner Advertising Mobile,percent,Statista,,33.661,28.066,24.912,13.114,8.913,7.732,6.706,7.055,6.21
United States,Banner Advertising,Average Ad Spending per Internet User,Total,USD (US$),Statista,128.995,155.977,181.901,210.178,227.549,239.465,249.825,258.457,265.067,270.682
United States,Banner Advertising,Average Ad Spending per Internet User,Banner Advertising Desktop,USD (US$),Statista,57.489,61.552,63.068,65.062,66.194,66.622,66.45,65.548,61.261,56.879
United States,Banner Advertising,Average Ad Spending per Internet User,Banner Advertising Mobile,USD (US$),Statista,71.506,94.425,118.833,145.117,161.355,172.843,183.374,192.91,203.806,213.803
United States,Social Media Advertising,Ad Spending,Total,million USD (US$),Statista,"21,405","30,017","39,312","50,356","56,676.828","62,997.656","69,318.484","75,639.312","81,960.14","88,280.968"
United States,Social Media Advertising,Ad Spending,Social Media Advertising Desktop,million USD (US$),Statista,"5,860.605","7,005.377","7,387.283","8,129.777","8,549.499","9,274.148","10,123.767","11,026.587","10,518.127","9,944.443"
United States,Social Media Advertising,Ad Spending,Social Media Advertising Mobile,million USD (US$),Statista,"15,544.395","23,011.623","31,924.717","42,226.223","48,127.329","53,723.508","59,194.717","64,612.725","71,442.013","78,336.525"
United States,Social Media Advertising,Ad Spending Growth,Total,percent,Statista,,40.234,30.966,28.093,12.552,11.152,10.033,9.119,8.357,7.712
United States,Social Media Advertising,Ad Spending Growth,Social Media Advertising Desktop,percent,Statista,,19.533,5.452,10.051,5.163,8.476,9.161,8.918,-4.611,-5.454
United States,Social Media Advertising,Ad Spending Growth,Social Media Advertising Mobile,percent,Statista,,48.038,38.733,32.268,13.975,11.628,10.184,9.153,10.57,9.651
United States,Social Media Advertising,Average Ad Spending per Internet User,Total,USD (US$),Statista,75.897,105.153,135.33,169.47,187.498,204.977,222.112,238.945,255.51,271.835
United States,Social Media Advertising,Average Ad Spending per Internet User,Social Media Advertising Desktop,USD (US$),Statista,20.78,24.541,25.43,27.36,28.283,30.176,32.439,34.833,32.79,30.621
