"","Region","Market","Chart","Name","Unit","Year","Value"
"1","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2017",3303.494
"2","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2018",4548.735
"3","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2019",5521.198
"4","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2020",6725.699
"5","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2021",8254.644
"6","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2022",9392.775
"7","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2023",10283.183
"8","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2024",11138.468
"9","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2025",11992.568
"10","United Kingdom","Social Media Advertising","Ad Spending","Total","million USD (US$)","2026",13012.506
"11","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2017",1126.298
"12","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2018",1484.529
"13","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2019",1740.434
"14","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2020",2063.479
"15","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2021",2479.666
"16","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2022",2776.01
"17","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2023",3001.611
"18","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2024",3221.511
"19","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2025",3435.152
"20","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Desktop","million USD (US$)","2026",3691.109
"21","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2017",2177.195
"22","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2018",3064.206
"23","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2019",3780.764
"24","United Kingdom","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2020",4662.221
